,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency
63,public,24 hours daily,,,2021-06-22,,ELEC,Public,65855,,,E,Central Point - Fairground Chevron,888-833-2148,2021-06-22T01:24:23Z,,200-9,42.378367,-122.900702,Central Point,,,OR,1510 East Pine St,97497,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['612', '685']}",
64,public,24 hours daily,,,2021-06-22,,ELEC,Public,65856,,,E,Roseburg - Wagon Wheel Restaurant,888-833-2148,2021-06-22T01:24:23Z,,200-9,43.226684,-123.355712,Roseburg,,,OR,227 NW Garden Valley RD,97470,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1237', '669']}",
65,public,24 hours daily,,,2021-06-22,,ELEC,Public,65857,,,E,Ashland - Shell,888-833-2148,2021-06-22T01:24:23Z,,200-8,42.185555,-122.668761,Ashland,,,OR,2373 Ashland Street,97520,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1174', '673']}",
66,public,24 hours daily,,,2021-06-22,,ELEC,Public,65858,,,E,Wolf Creek - Wolf Creek Inn,888-833-2148,2021-06-22T01:24:23Z,,200-8,42.695946,-123.395956,Wolf Creek,,,OR,100 Front Street,97497,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1229', '730']}",
67,public,24 hours daily,,,2021-06-22,,ELEC,Public,65863,,,E,Springfield - Gateway Marketplace,888-833-2148,2021-06-22T01:24:23Z,,200-8,44.084422,-123.039829,Springfield,,,OR,840 Beltline Road,97477,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['2869', '790']}",
68,public,24 hours daily,,,2021-06-22,,ELEC,Public,65867,,,E,Newport - City of Newport Public Parking Lot,888-833-2148,2021-06-22T01:24:23Z,,200-9,44.632443,-124.055347,Newport,,,OR,925 Southwest Hurbert Street,97365,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1462', '804']}",
69,public,24 hours daily,,,2021-06-22,,ELEC,Public,65871,,,E,Oakland - Motel 6,888-833-2148,2021-06-22T01:24:23Z,,200-9,43.537046,-123.290133,Oakland,,,OR,621 John Long Road,97462,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1226', '955']}",
70,public,24 hours daily,,,2021-06-22,,ELEC,Public,65872,,,E,Canyonville - 7 Feathers Truck and Travel Center,888-833-2148,2021-06-22T01:24:23Z,,200-9,42.940681,-123.290092,Canyonville,,,OR,130 Creekside Rd,97417,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1178', '1215']}",
71,public,,,,2021-06-22,,ELEC,Public,65927,2015-01-01,,E,NE MLK Boulevard - Portland OR,855-885-9571,2021-06-22T01:48:04Z,,GPS,45.54913,-122.66145,Portland,,,OR,3640 Northeast Martin Luther King Junior Boulevard,97212,US,,,,,,,,,,,['J1772'],,,2.0,OpConnect,http://www.opconnect.com/,,,SOLAR,,,,,,,,,,,,,,,Public,,"{'station': ['114'], 'posts': ['227_1', '227_2']}",
72,public,11am-9pm daily; free for restaurant patrons,,,2021-05-06,,ELEC,Public,65944,2014-09-01,P,E,Cafe Yumm! - Argyle Square,503-638-9866,2021-05-06T13:19:19Z,RESTAURANT,GPS,45.334986,-122.766691,Wilsonville,Close to the I-5 exit for North Wilsonville and Elligson Road,,OR,8689 SW Robert Burns Dr,97070,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
73,public,24 hours daily,,,2021-06-22,,ELEC,Public,66525,,,E,OSU OSU CAMPUS #1,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.566295,-123.283836,Corvallis,,,OR,2900 SW Campus Way,97331,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1769741'], 'posts': ['8956361', '8956371']}",
74,public,24 hours daily,,,2021-06-22,,ELEC,Public,66600,,,E,WV EV STATION 1 WV EV STATION 1,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.430256,-122.645106,Milwaukie,,,OR,12705 SE River Rd,97222,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL117843'], 'posts': ['305222', '305224']}",
75,public,24 hours daily,,,2021-06-22,,ELEC,Public,67164,,,E,RIVERPLACE RIVERPLACE APT,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.865232,-123.183309,Independence,,,OR,295 Deann Drive,97351,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL117629'], 'posts': ['10832201', '10832211']}",
76,public,11am-5pm daily,,,2021-06-07,,ELEC,Public,69732,2015-09-01,P,E,Laurel Ridge Winery,503-852-7050,2021-06-07T17:37:37Z,BREWERY_DISTILLERY_WINERY,200-9,45.313977,-123.100942,Carlton,,,OR,13301 NE Kuelene Rd,97111,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,SOLAR,,,,,,,,,,,,,,,Public,,,
77,public,24 hours daily,,,2021-06-22,,ELEC,Public,69805,,,E,VW OF SALEM VW_423041_A,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.973752,-123.018312,Salem,,,OR,3415 Del Webb Ave NE,97301,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL107853'], 'posts': ['130725', '130727']}",
78,public,24 hours daily,,,2021-06-22,,ELEC,Public,71288,,,E,OSU JEFFERSON 3,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.564876,-123.280561,Corvallis,,,OR,220 SW 26th St,97331,US,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1746971'], 'posts': ['8955211']}",
79,public,,,,2021-06-22,,ELEC,Public,71432,2019-04-22,,E,Tri-Met Oregon Park Ave Park N Ride,855-885-9571,2021-06-22T01:48:04Z,,GPS,45.429692,-122.635603,Portland,,,OR,2750 Southeast Park Ave.,97222,US,,,,,,,,,,,['J1772'],,,7.0,OpConnect,http://www.opconnect.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['138'], 'posts': ['184_1', '185_1', '185_2', '186_1', '186_2', '187_1', '187_2']}",
80,public,24 hours daily,,,2021-06-22,,ELEC,Public,71851,,,E,FRED MEYER DC S. MEDFORD,888-758-4389,2021-06-22T00:42:47Z,,GPS,42.313893,-122.855354,Medford,,,OR,1307 Center Dr,97501,US,,,,,,,,,,,['J1772COMBO'],1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL118201'], 'posts': ['177307']}",
81,public,24 hours daily,,,2021-06-22,,ELEC,Public,71852,,,E,FRED MEYER DCE GRANTS PASS,888-758-4389,2021-06-22T00:42:47Z,,GPS,42.43512,-123.306507,Grants Pass,,,OR,1101 Grants Pass Pkwy,97526,US,,,,,,,,,,,['J1772COMBO'],1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL119025'], 'posts': ['177271']}",
82,public,24 hours daily,,,2021-06-22,,ELEC,Public,71917,,,E,FRED MEYER DC ROSEBURG,888-758-4389,2021-06-22T00:42:47Z,,GPS,43.228342,-123.368717,Roseburg,,,OR,929 NW Garden Valley Blvd,97471,US,,,,,,,,,,,['J1772COMBO'],1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL118493'], 'posts': ['177293']}",
83,public,24 hours daily,,,2021-06-22,,ELEC,Public,72279,,,E,LLOYD CENTER DC LLOYD CENTER,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.531974,-122.652822,Portland,,,OR,2252 Lloyd Center,97232,US,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL125603'], 'posts': ['183095']}",
84,public,24 hours daily,,,2021-06-22,,ELEC,Public,72280,,,E,FRED MEYER DC ALBANY,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.631287,-123.076296,Albany,,,OR,2500 Santiam Hwy SE,97322,US,,,,,,,,,,,['J1772COMBO'],1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL119107'], 'posts': ['177235']}",
85,public,24 hours daily,,,2021-06-22,,ELEC,Public,73276,,,E,HIGHLANDCHEVRON WOODBURN EV 1-2,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.150881,-122.878368,Woodburn,,,OR,993 Lawson Ave,97071,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL126821'], 'posts': ['166009', '166011']}",
86,public,24 hours daily,,,2021-06-22,,ELEC,Public,73406,,,E,Halsey - Pioneer Villa Truck Plaza,888-833-2148,2021-06-22T01:24:23Z,,200-9,44.388302,-123.064601,Halsey,,,OR,33180 Highway 228,97348,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1200', '1377']}",
87,public,24 hours daily,,,2021-06-22,,ELEC,Public,73407,,,E,Cottage Grove - Vintage Inn Restaurant,888-833-2148,2021-06-22T01:24:23Z,,200-8,43.804346,-123.045188,Cottage Grove,,,OR,1570 Gateway Blvd,97424,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1213', '1245']}",
88,public,24 hours daily,,,2021-06-22,,ELEC,Public,73408,,,E,Grants Pass - Grants Pass Chamber of Commerce,888-833-2148,2021-06-22T01:24:23Z,,200-9,42.461886,-123.322942,Grants Pass,,,OR,1995 NW Vine Street,97528,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1218', '1247']}",
89,public,24 hours daily,,,2021-06-22,,ELEC,Public,73409,,,E,McKenzie Bridge - Blue Sky Market,888-833-2148,2021-06-22T01:24:23Z,,200-9,44.173131,-122.221159,McKenzie Bridge,,,OR,91808 Mill Creek Road,97413,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1221', '1473']}",
90,public,24 hours daily,,,2021-06-22,,ELEC,Public,73410,,,E,Sisters - Sisters Mainline Station,888-833-2148,2021-06-22T01:24:23Z,,200-9,44.297746,-121.562018,Sisters,,,OR,1001 West Railway Ave,97759,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1385', '2394']}",
91,public,24 hours daily,,,2021-06-22,,ELEC,Public,73411,,,E,Hood River - City of Hood River Public Parking Lot,888-833-2148,2021-06-22T01:24:23Z,,200-8,45.710116,-121.516401,Hood River,,,OR,607 Columbia Street,97031,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1284', '1463']}",
92,public,24 hours daily,,,2021-06-22,,ELEC,Public,73414,,,E,Detroit - Mountain High Grocery,888-833-2148,2021-06-22T01:24:23Z,,200-9,44.733181,-122.150001,Detroit,,,OR,245 N Detroit Ave,97342,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1380', '1891']}",
93,public,24 hours daily,,,2021-06-22,,ELEC,Public,73416,,,E,Astoria - Sunset Empire Transit District,888-833-2148,2021-06-22T01:24:23Z,,200-9,46.190172,-123.833328,Astoria,,,OR,900 Marine Drive,97103,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1423', '1475']}",
94,public,24 hours daily,,,2021-06-22,,ELEC,Public,73417,,,E,Newberg - Chevron,888-833-2148,2021-06-22T01:24:23Z,,200-9,45.30867,-122.941716,Newberg,,,OR,3745 East Portland Road,97132,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1468', '1818']}",
95,public,24 hours daily,,,2021-06-22,,ELEC,Public,73418,,,E,Banks - Jim's Thriftway,888-833-2148,2021-06-22T01:24:23Z,,GPS,45.61007,-123.11286,Banks,,,OR,660 Main Street Suite A,97106,US,,,,,,,,,,,['CHADEMO'],1.0,,,Webasto,https://www.evsolutions.com/ev-network,,DC Fast: $7.50 per session or $19.99 for monthly plan,,,,,,,,,,,,,,,,Public,,{'posts': ['1470']},
96,public,24 hours daily,,,2021-06-22,,ELEC,Public,73419,,,E,Florence - Three Rivers Casino,888-833-2148,2021-06-22T01:24:23Z,,200-9,43.976542,-124.087455,Florence,,,OR,5647 Highway 126,97439,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1609', '2188']}",
97,public,24 hours daily,,,2021-06-22,,ELEC,Public,73420,,,E,Scappoose - Fred Meyer,888-833-2148,2021-06-22T01:24:23Z,,200-9,45.741826,-122.877316,Scappoose,,,OR,51501 Columbia River Highway,97056,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1631', '2189']}",
98,public,24 hours daily,,,2021-06-22,,ELEC,Public,73421,,,E,McMinnville - Oregon Mutual Insurance,888-833-2148,2021-06-22T01:24:23Z,,200-8,45.210788,-123.197763,McMinnville,,,OR,410 NE Baker ST,97128,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['2200', '2553']}",
99,public,24 hours daily,,,2021-06-22,,ELEC,Public,73422,,,E,Mill City - Mountain Edge Café,888-833-2148,2021-06-22T01:24:23Z,,200-8,44.756895,-122.480022,Mill City,,,OR,320 NW Santiam Blvd,97360,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1688', '2199']}",
100,public,24 hours daily,,,2021-06-22,,ELEC,Public,73423,,,E,Welches - Barlow Trail Roadhouse,888-833-2148,2021-06-22T01:24:23Z,,200-9,45.344393,-121.947981,Welches,,,OR,69580 East Highway 26,97067,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1699', '1837']}",
101,public,24 hours daily,,,2021-06-22,,ELEC,Public,73424,,,E,Lincoln City - Lincoln City Cultural Center,888-833-2148,2021-06-22T01:24:23Z,,200-9,44.970156,-124.014111,Lincoln City,,,OR,540 U.S. 101,97367,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1700', '1945']}",
102,public,24 hours daily,,,2021-06-22,,ELEC,Public,73425,,,E,City of Cascade Locks Public Parking Lot,888-833-2148,2021-06-22T01:24:23Z,,GPS,45.67071,-121.88823,Cascade Locks,,,OR,95 N.E. Wa Na Pa,97014,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1701', '2443']}",
103,public,24 hours daily,,,2021-06-22,,ELEC,Public,73426,,,E,Yachats - Yachats City Hall,888-833-2148,2021-06-22T01:24:23Z,,200-9,44.312715,-124.105434,Yachats,,,OR,441 Highway 101 N,97498,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1706', '1890']}",
104,public,24 hours daily,,,2021-06-22,,ELEC,Public,73427,,,E,Elkton - Brandborg Winery,888-833-2148,2021-06-22T01:24:23Z,,200-9,43.63635,-123.565872,Elkton,,,OR,345 First St,97436,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['2203', '2574']}",
105,public,24 hours daily,,,2021-06-22,,ELEC,Public,73428,,,E,Warm Springs - Indian Head Casino,888-833-2148,2021-06-22T01:24:23Z,,GPS,44.76316,-121.25056,Warm Springs,,,OR,3236 US 26,97761,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1721', '2191']}",
106,public,24 hours daily,,,2021-06-22,,ELEC,Public,73429,,,E,Reedsport - Recreation Station,888-833-2148,2021-06-22T01:24:23Z,,200-8,43.697984,-124.112514,Reedsport,,,OR,1575 Highway 101 S,97467,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['2213', '2682']}",
107,public,24 hours daily,,,2021-06-22,,ELEC,Public,73430,,,E,Monmouth - Dairy Queen,888-833-2148,2021-06-22T01:24:23Z,,200-9,44.846196,-123.229619,Monmouth,,,OR,320 Pacific Ave South,97361,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1739', '1884']}",
108,public,24 hours daily,,,2021-06-22,,ELEC,Public,73432,,,E,Spirit Mountain Casino Service Station,888-833-2148,2021-06-22T01:24:23Z,,200-9,45.060267,-123.57813,Grand Ronde,,,OR,26820 Salmon River Highway,97347,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1742', '1903']}",
109,public,24 hours daily,,,2021-06-22,,ELEC,Public,73434,,,E,Veneta - Veneta Park n' Ride,888-833-2148,2021-06-22T01:24:23Z,,200-9,44.051007,-123.351922,Veneta,,,OR,88184 Territorial Road,97487,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1780', '1897']}",
110,public,24 hours daily,,,2021-06-22,,ELEC,Public,73436,,,E,Tillamook - Fred Meyer,888-833-2148,2021-06-22T01:24:23Z,,200-9,45.474795,-123.845554,Tillamook,,,OR,2500 N Main St,97141,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1879', '2185']}",
111,public,24 hours daily,,,2021-06-22,,ELEC,Public,73438,,,E,Cannon Beach - Cannon Beach RV Resort,888-833-2148,2021-06-22T01:24:23Z,,200-9,45.890201,-123.954666,Cannon Beach,,,OR,340 Elk Creek Road,97110,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['1960', '2174']}",
112,public,24 hours daily,,,2021-06-22,,ELEC,Public,73439,,,E,Coos Bay -Fred Meyer,888-833-2148,2021-06-22T01:24:23Z,,200-9,43.357193,-124.211286,Coos Bay,,,OR,1020 1st St,97420,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['2195', '2759']}",
113,public,24 hours daily,,,2021-06-22,,ELEC,Public,73440,,,E,Albany - Chevron,888-833-2148,2021-06-22T01:24:23Z,,200-9,44.556383,-123.066374,Albany,,,OR,33157 Highway 34 SE,97322,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['2201', '2323']}",
114,public,24 hours daily,,,2021-06-22,,ELEC,Public,73441,,,E,Redmond - Fred Meyer,888-833-2148,2021-06-22T01:24:23Z,,200-9,44.26766,-121.17681,Redmond,,,OR,944 SW Veterans Way,97756,US,,,,,,,,,,,['CHADEMO'],1.0,,,Webasto,https://www.evsolutions.com/ev-network,,DC Fast: $7.50 per session or $19.99 for monthly plan,,,,,,,,,,,,,,,,Public,,{'posts': ['2204']},
115,public,24 hours daily,,,2021-06-22,,ELEC,Public,73442,,,E,Westport - Berry Patch,888-833-2148,2021-06-22T01:24:23Z,,200-9,46.130686,-123.373559,WESTPORT,,,OR,49289 US 30,97016,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['2205', '2545']}",
116,public,24 hours daily,,,2021-06-22,,ELEC,Public,73443,,,E,The Dalles - Fred Meyer,888-833-2148,2021-06-22T01:24:23Z,,200-9,45.606773,-121.199696,The Dalles,,,OR,1215 W 6th St,97058,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Webasto,https://www.evsolutions.com/ev-network,,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",,,,,,,,,,,,,,,,Public,,"{'posts': ['2208', '2407']}",
